                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.512,                 3.8286,                 4.1415,                0.00248,                0.27959,                0.01443,                0.00368,                 3.5182,                 4.1242,                 4.0831,              0.0033133,              0.0033133,              0.0033133
                      2,                  2.954,                 3.0635,                 3.6917,                0.13871,                0.12077,                0.05436,                0.01837,                 2.7497,                 4.2544,                 3.4954,              0.0066372,              0.0066372,              0.0066372
                      3,                 2.1373,                 2.3352,                 2.7247,                0.25632,                0.21135,                0.14713,                0.06722,                 2.4987,                 3.6544,                 3.0796,              0.0099517,              0.0099517,              0.0099517
                      4,                 1.6251,                 1.7965,                 2.0972,                0.35292,                0.45894,                0.34838,                0.19636,                 1.5044,                 4.3061,                 2.0358,              0.0099576,              0.0099576,              0.0099576
                      5,                 1.3664,                 1.4467,                 1.7985,                0.49555,                0.37198,                0.35242,                0.22617,                 1.5222,                 2.1372,                 1.9843,              0.0099434,              0.0099434,              0.0099434
                      6,                 1.2272,                 1.3064,                 1.6415,                0.49319,                0.48068,                0.46346,                0.30378,                 1.2732,                  1.725,                 1.7113,              0.0099293,              0.0099293,              0.0099293
                      7,                 1.1395,                 1.2222,                 1.5394,                0.59292,                0.58816,                0.55969,                0.38026,                 1.1548,                  1.396,                 1.5711,              0.0099151,              0.0099151,              0.0099151
                      8,                 1.0864,                 1.1185,                 1.4771,                0.59739,                0.61171,                0.60135,                0.41233,                  1.082,                  1.345,                  1.504,               0.009901,               0.009901,               0.009901
                      9,                 1.0421,                 1.0998,                 1.4298,                0.61966,                0.69951,                0.67885,                0.48855,                  1.003,                 1.2073,                 1.4181,              0.0098869,              0.0098869,              0.0098869
                     10,                0.98806,                0.99468,                 1.3901,                0.62391,                0.67089,                 0.6508,                0.46901,                 0.9985,                 1.2285,                 1.4076,              0.0098727,              0.0098727,              0.0098727
                     11,                0.96887,                 1.0155,                 1.3709,                0.64097,                0.73792,                0.72031,                0.51482,                0.97658,                 1.2137,                 1.4085,              0.0098586,              0.0098586,              0.0098586
                     12,                0.94529,                0.97157,                 1.3477,                0.65678,                0.72916,                0.71021,                0.53476,                0.92296,                 1.0294,                 1.3487,              0.0098444,              0.0098444,              0.0098444
                     13,                0.91719,                0.94738,                 1.3266,                0.68022,                0.71981,                0.72384,                0.53087,                0.93104,                 1.0776,                 1.3428,              0.0098303,              0.0098303,              0.0098303
                     14,                0.88359,                0.91226,                 1.3043,                0.65153,                0.75785,                0.72071,                0.53255,                0.88293,                 1.0476,                 1.2997,              0.0098161,              0.0098161,              0.0098161
                     15,                0.89209,                0.92188,                 1.2941,                0.66257,                0.64493,                0.65823,                0.48504,                 1.0074,                 1.3391,                 1.4128,               0.009802,               0.009802,               0.009802
